year,actividadInterna,renta,iva,timbre,gmf,actividadExterna,total,crecimientoImpuestos,crecimientoPIB
1970,7557,5958,1000,599,0,3755,11312,19.7224186704385,6.95651509879755
1971,9154,6940,1338,876,0,4389,13543,15.1148194639297,5.95122309899503
1972,10508,8021,1447,1040,0,5082,15590,22.1359846055164,7.6734146820758
1973,12111,9050,1686,1375,0,6930,19041,28.695971850218,6.72748176038837
1974,15481,11135,2555,1791,0,9024,24505,51.8465619261375,5.74252210854848
1975,25147,18315,5174,1658,0,12063,37210,24.3348562214458,2.24804705944727
1976,29014,20769,6497,1748,0,17251,46265,27.2063114665514,4.81718726877891
1977,34708,24188,8344,2176,0,24144,58852,25.2548766397064,4.14801343895326
1978,44704,30677,11151,2876,0,29011,73715,24.8538289357661,8.46344999951035
1979,57217,38485,15556,3176,0,34819,92036,32.9664479116867,5.38285337290468
1980,72045,48318,18758,4969,0,50332,122377,14.4643192756809,4.09819916132513
1981,85384,54726,25713,4945,0,54694,140078,23.6989391624666,2.26321677428838
1982,108021,67870,33536,6615,0,65254,173275,23.4257682874044,0.948480319271752
1983,149664,100231,41997,7436,0,64202,213866,24.3998578549185,1.58437630412807
1984,194135,120839,62269,11027,0,71914,266049,53.1894500637101,3.35510101629157
1985,276386,162099,94801,19486,0,131173,407559,41.8071984669704,3.08826465180508
1986,373567,222601,126040,24926,0,204381,577948,45.5636147196634,5.83829240966305
1987,508457,318329,173164,16964,0,332825,841282,35.8777437292133,5.37150680632328
1988,674696,426929,228690,19077,0,468419,1143115,29.6229163295032,4.05982100227979
1989,920160,586745,307202,26213,0,561579,1481739,33.1497652420568,3.41742665551664
1990,1267784,822513,411482,33789,0,705148,1972932,40.5253703624859,6.04203847765552
1991,2078931,1409760,628340,40831,0,693539,2772470,29.6159381345876,2.27723149659272
1992,2796539,1846321,894653,55565,0,797024,3593563,43.0464973064338,5.0326774965981
1993,3693220,2318382,1359344,15494,0,1447246,5140466,27.8961673902716,2.36565057431291
1994,4698324,2810450,1801397,86477,0,1876135,6574459,23.8639255336447,5.83581149444534
1995,5831299,3483559,2218156,129584,0,2312084,8143383,24.4355570651657,5.20243759255641
1996,7608094,4046703,3412537,148854,0,2525170,10133264,29.8213290406724,2.05585471214225
1997,9722309,5478876,4010276,233157,0,3432829,13155138,14.0945841845217,3.43029367829288
1998,10890906,6061012,4512718,317176,0,4118394,15009300,9.43037316863545,0.569784089852092
1999,12851660,6700405,4934015,336548,880692,3573073,16424733,17.2686918849457,-4.2040152437058
2000,14755988.900312,7526963.61346188,5789588.73035923,402692.556490903,1036744,4505080.634383,19261069.534695,29.0050853911444,4.41999299958138
2001,19441735.498157,10261225.4958703,7322401.82077224,420749.181514465,1437359,5406023.702324,24847759.200481,10.8341994357178,1.67789830770366
2002,21903835.194333,10859993.4123953,7951042.49291126,433976.773701484,1408101,5635979.793235,27539814.987568,17.1584891804035,2.5039804654986
2003,25574800.856924,12541672.5655123,9672157.25480927,511536.841284412,1621500,6690430.305589,32265231.162513,17.0813865881281,3.9182719036083
2004,30232457.1567,15955333.583028,11010806.0884573,574710.198220717,2237595,7544122.87423499,37776580.030935,15.3036143908047,5.33302206745392
2005,34272520.584082,18538970.0940396,12184699.2462623,673405.890134132,2401225.874596,9285241.584821,43557762.168903,21.2291501967715,4.70655593383118
2006,40544593.171061,22419113.152389,14129092.9864801,791207.533405993,2668946.016352,12260111.751031,52804704.922092,14.0493696261812,6.69751525770528
2007,46887521.713178,24741645.3898482,17059745.0414366,863928.36664719,2989521.966379,13335911.383433,60223433.096611,11.2467482425377,6.90062765541222
2008,52854172,26666889,18857401,809376,3199639,14142439,66996611,2.81497282144167,3.54680488578107
2009,56154875.581953,30693655.8347623,19454512.482574,646811.634484702,3121277.7,12727671.808984,68882547.390937,1.85501183301638,1.65154924529054
2010,55597453.586477,28115445.6548221,21664559.7848347,357159.235224158,3224922.2,14562873.209445,70160326.795922,23.3003541968239,3.97180070473753
2011,69568366.275889,34820072.2896037,25106967.3125593,123922.925377002,5069606.2,16939565.169132,86507931.445021,14.6540200473856,6.58951151557115
2012,82192814.493647,45729041.8973914,26544725.2384299,58972.8144707841,5468351.3,16992006.567906,99184821.061553,6.16507573820416,4.0439438063715
2013,88993251.330265,46359304.1206613,25266408.3112335,59710.5759891835,5897755.2,16306389.070535,105299640.4008,8.52715781231173,4.87406557934081
2014,96283865.913573,39439825,28313654,72429,6452653,17994841,114278706.913573,8.20833324229354,4.39360833969515
2015,103155481.002023,41382408,29598672,105729,6741442,20503603,123659084.002023,2.46830219680997,3.05201657329961